,NumberOfCustomers
0,575.7038446328079
1,565.6224442553066
2,-3.6337767264340073
3,582.2164737648563
4,540.2736546710075
5,6.078428328590235
6,733.8793924578058
7,714.4909971953894
8,691.5384969498264
9,675.70950622292
10,681.3143264154496
11,631.7470178399526
12,-2.168425948242657
13,701.3161711953289
14,665.039428537857
15,697.9923136268626
16,685.7941805950832
17,685.4432602495363
18,587.7043384680292
19,11.395056904671947
20,591.8930363692634
21,568.4148014989623
22,604.2390604249085
23,592.6040559760295
24,614.1433123223542
25,565.2102420995943
26,-15.594064898556098
27,633.7133355227706
28,693.6835271784512
29,696.4684892304067
30,632.7100388700492
31,515.6513479781279
32,572.7889349641919
33,-13.962514955026563
34,690.8552761235915
35,690.1024980639922
36,743.5149436739739
37,699.1958390188229
38,724.6492436499975
39,613.8145708585798
40,0.9448025609308388
41,585.3540355613804
42,583.2967852607835
43,601.8606392158836
44,595.7332632758189
45,591.8439435862238
46,595.7865848781948
47,15.017375233379425
48,709.0240166457661
49,721.6012817122391
50,729.3553213121486
51,721.1593685307307
52,708.3989366456808
53,571.4779587003577
54,9.853949219657807
55,545.249930465623
56,594.7039221361047
57,589.757054757094
58,154.9914386436285
59,145.90346602034697
60,12.017100270008086
61,159.5133848680125
62,190.19826900374028
63,37.64548251463566
64,212.54747849499108
65,210.8505700447713
66,206.35551776489592
67,230.36131643530098
68,243.02902886069205
69,198.65674762043636
70,18.889499955243082
71,245.3098013541021
72,221.44615584274288
73,223.1013803857204
74,228.012969288975
75,237.40342395160405
76,174.6199274945393
77,12.028574699710589
78,180.78419375614612
79,169.18189318463556
80,171.32036954697105
81,161.86073603504337
82,138.16109580910415
83,162.58820913021918
84,29.75239721298567
85,223.98554475237324
86,203.57821506258915
87,238.43542555098247
88,223.27160275768256
89,227.38709393164027
90,185.28294180707599
91,27.568899886027793
92,229.05334649178258
93,229.37092718260828
94,209.69692837877665
95,219.77618821908254
96,205.64885281253373
97,167.8303669681336
98,-15.101527865190292
99,177.35097757990297
100,178.21919819322648
101,168.7607297099894
102,154.7473233242781
103,172.7394563252892
104,175.23733962311235
105,14.55803664427367
106,214.9801048530353
107,225.7318478357629
108,215.6517625701381
109,212.35766004685138
110,215.08235793745553
111,158.59856126547675
112,15.576954198928433
113,155.100057563046
114,161.3519977722026
115,170.31615009235975
116,320.2834040322923
117,335.634490440425
118,7.228104861045722
119,360.22194119059714
120,365.0511390521424
121,-0.6347678981837817
122,429.0184463066689
